Id,ImageUrl,A_X1_Coordinate,A_X2_Coordinate,A_Y1_Coordinate,A_Y2_Coordinate,B_X1_Coordinate,B_X2_Coordinate,B_Y1_Coordinate,B_Y2_Coordinate,C_X1_Coordinate,C_X2_Coordinate,C_Y1_Coordinate,C_Y2_Coordinate,D_X1_Coordinate,D_X2_Coordinate,D_Y1_Coordinate,D_Y2_Coordinate,E_X1_Coordinate,E_X2_Coordinate,E_Y1_Coordinate,E_Y2_Coordinate
556966,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/94998.jpg,41,1762,652,822,45,1762,904,1074,43,1563,1156,1219,45,1731,1300,1363,45,1762,1444,1602
556974,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95006.jpg,41,343,328,391,701,913,328,391,1268,1765,328,391,337,703,480,543,950,1279,480,543
556971,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95003.jpg,41,1695,570,633,45,1597,692,755,43,1631,814,877,45,1333,934,997,45,1586,1056,1119
556970,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95002.jpg,41,839,358,420,45,1129,502,565,43,1251,644,707,45,971,788,851,45,953,932,995
556968,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95000.jpg,42,1404,1470,1542,46,1426,1592,1665,44,1426,1712,1785,46,1426,1834,1906,46,1426,1956,2029
556973,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95005.jpg,41,1473,466,528,45,1025,610,673,43,1411,754,817,45,1275,896,959,45,1227,1040,1103
556969,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95001.jpg,42,276,1068,1131,758,1008,1068,1131,1489,1760,1068,1131,370,650,1218,1281,1099,1392,1218,1281
556980,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95012.jpg,41,1593,438,500,45,1643,560,730,43,1570,790,853,45,1303,912,975,45,1475,1022,1192
556977,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95009.jpg,41,603,652,715,45,1025,796,859,43,585,940,1003,45,649,1074,1147,45,625,1228,1291
556981,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95013.jpg,43,697,466,528,47,927,610,673,45,633,754,817,47,1153,896,959,47,651,1040,1103
556976,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95008.jpg,42,276,1154,1217,764,1014,1154,1217,1501,1766,1154,1217,392,662,1304,1367,1111,1402,1304,1367
556967,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/94999.jpg,41,1266,1410,1473,45,1762,1554,1724,43,1654,1806,1869,45,1759,1950,2121,45,1724,2202,2265
556972,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95004.jpg,41,135,1694,1757,419,529,1694,1757,809,943,1694,1757,1226,1367,1694,1757,1646,1765,1694,1757
556965,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/94997.jpg,41,1278,2046,2109,45,641,2190,2253,43,443,2334,2397,45,1144,2478,2541,45,1424,2622,2685
556983,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95015.jpg,41,747,760,823,45,1211,904,967,43,1061,1048,1111,45,1013,1192,1255,45,861,1336,1399
556979,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95011.jpg,42,276,1340,1403,758,1008,1340,1403,1489,1760,1340,1403,392,672,1492,1555,1099,1390,1492,1555
556978,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95010.jpg,41,1019,388,450,45,939,532,595,43,945,676,739,45,913,820,883,45,825,964,1027
556986,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95018.jpg,41,1053,248,310,45,487,392,455,43,907,536,599,45,1211,680,743,45,747,824,887
556984,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95016.jpg,41,429,546,609,657,1100,546,609,1324,1761,546,609,301,699,696,759,948,1511,696,759
556993,https://d2cqobm8wcb2vo.cloudfront.net/crops/yntykstrim/95025.jpg,41,713,1630,1693,45,945,1774,1837,43,939,1918,1981,45,913,2062,2125,45,623,2206,2269
